[0.011s] Invoking command in '/home/cpslab/ros2_ljy/build/nova5_control': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/foxy /usr/bin/cmake --build /home/cpslab/ros2_ljy/build/nova5_control -- -j32 -l32
[0.033s] Invoked command in '/home/cpslab/ros2_ljy/build/nova5_control' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/foxy /usr/bin/cmake --build /home/cpslab/ros2_ljy/build/nova5_control -- -j32 -l32
[0.040s] Invoking command in '/home/cpslab/ros2_ljy/build/nova5_control': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/foxy /usr/bin/cmake --install /home/cpslab/ros2_ljy/build/nova5_control
[0.044s] -- Install configuration: ""
[0.044s] -- Execute custom install script
[0.044s] -- Up-to-date symlink: /home/cpslab/ros2_ljy/install/nova5_control/share/ament_index/resource_index/package_run_dependencies/nova5_control
[0.045s] -- Up-to-date symlink: /home/cpslab/ros2_ljy/install/nova5_control/share/ament_index/resource_index/parent_prefix_path/nova5_control
[0.045s] -- Up-to-date symlink: /home/cpslab/ros2_ljy/install/nova5_control/share/nova5_control/environment/ament_prefix_path.sh
[0.045s] -- Up-to-date symlink: /home/cpslab/ros2_ljy/install/nova5_control/share/nova5_control/environment/ament_prefix_path.dsv
[0.045s] -- Up-to-date symlink: /home/cpslab/ros2_ljy/install/nova5_control/share/nova5_control/environment/path.sh
[0.045s] -- Up-to-date symlink: /home/cpslab/ros2_ljy/install/nova5_control/share/nova5_control/environment/path.dsv
[0.045s] -- Up-to-date symlink: /home/cpslab/ros2_ljy/install/nova5_control/share/nova5_control/local_setup.bash
[0.045s] -- Up-to-date symlink: /home/cpslab/ros2_ljy/install/nova5_control/share/nova5_control/local_setup.sh
[0.045s] -- Up-to-date symlink: /home/cpslab/ros2_ljy/install/nova5_control/share/nova5_control/local_setup.zsh
[0.046s] -- Up-to-date symlink: /home/cpslab/ros2_ljy/install/nova5_control/share/nova5_control/local_setup.dsv
[0.046s] -- Symlinking: /home/cpslab/ros2_ljy/install/nova5_control/share/nova5_control/package.dsv
[0.050s] -- Up-to-date symlink: /home/cpslab/ros2_ljy/install/nova5_control/share/ament_index/resource_index/packages/nova5_control
[0.051s] -- Up-to-date symlink: /home/cpslab/ros2_ljy/install/nova5_control/share/nova5_control/cmake/nova5_controlConfig.cmake
[0.051s] -- Up-to-date symlink: /home/cpslab/ros2_ljy/install/nova5_control/share/nova5_control/cmake/nova5_controlConfig-version.cmake
[0.051s] -- Up-to-date symlink: /home/cpslab/ros2_ljy/install/nova5_control/share/nova5_control/package.xml
[0.051s] -- Up-to-date symlink: /home/cpslab/ros2_ljy/install/nova5_control/share/nova5_control/launch/demo.launch.py
